ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA SAN LUIS,FARMACIA,"CARRETERA TUXTLA-CHICOASEN 
2312,",SAN ISIDRO BUENA VISTA,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090129,20/02/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL SANATORIO LA 
DIVINA PROVIDENCIA S.C.",FARMACIA,"14a. SUR PONIENTE No.391,",BARRIO SAN FRANCISCO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090130,24/03/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. SAN JOSE TERAN",FARMACIA,"3a. AV. NORTE PONIENTE No.220,",SAN JOSE TERAN,29110,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090131,24/03/2008,"II, III, VACUNAS Y TOXOIDES"
"FARMACIA DE LA CLINICA DE 
CONSULTA EXTERNA MORELOS",FARMACIA,2a. SUR PONIENTE No.1421,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090134,20/05/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUC. 16 
SUR",FARMACIA,"CARRETERA A VILLAFLORES No.1729,",LOMAS DEL VENADO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090136,11/09/2002,"II, III"
FARMACIA O C,FARMACIA,"BLVD. PRESA CHICOASEN No.776, 
FRACC. ELECTRICISTAS,",LAS PALMAS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090137,02/12/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
BOULEVARD",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.1006,",RESIDENCIAL CAMPESTRE,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090139,10/12/2008,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA INTERCONTINENTAL DE 
MEDICAMENTOS",FARMACIA,"BLVD. S.S. JUAN PABLO II Y BLVD. 
PARIENTE ALGARIN S/N,",CASTILLO TIELMANS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090140,25/02/2009,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PRODUCTOS FARMACEUTICOS DE 
TUXTLA ZANMARCOS",FARMACIA,3a. ORIENTE No.130,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090141,04/03/2009,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"CALLE SISMO No.593,",LA GLORIA,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090142,07/04/2009,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS OC SUCURSAL CENTRO,FARMACIA,1a. ORIENTE NORTE No.580,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090143,13/04/2009,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA HIYAKA PHARMA,FARMACIA,1a. SUR PONIENTE No.769 INT.7,,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090144,14/07/2009,"I, II, III"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,9a. SUR ORIENTE No.1630,COL. BIENESTAR SOCIAL,29071,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090145,24/08/2009,"I, II, III"
"FARMACIAS DEL AHORRO SUCURSAL 
ALBANIA",FARMACIA,"CALZD. AL SUMIDERO No.1440,",ALBANIA ALTA,29010,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090148,05/04/2010,"II, III"
FARMACIA DERMOCUTANEA,FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.2535 PLAZA SANTA ELENA LOCAL 
2 Y 3,",SANTA ELENA,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090152,19/07/2010,II
"FARMACIAS DEL AHORRO SUCURSAL 
CALLE CENTRAL",FARMACIA,CALLE CENTRAL SUR No.913,,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090153,29/07/2010,"II, III"
FARMACIA LA PAZ,FARMACIA,"2a. ORIENTE No.1089 SUR LOCAL 4, 
COL. SAN FRANCISCO",COL. SAN FRANCISCO,29066,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090154,06/07/2012,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL DE 
ESPECIALIDADES PEDIATRICAS",FARMACIA,BLVD. S.S. JUAN PABLO II S/N,,29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090155,12/11/2010,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
11A. ORIENTE",FARMACIA,"4a. SUR ORIENTE No.1191, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090158,25/01/2011,"II, III"
FARMACIA SAN JUDITAS,FARMACIA,"CALL JUAN SABINES No.2 (INT. 
CLINICA DE LA MUJER PONIENTE),",SAN JOSE TERAN,29047,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090161,11/04/2011,"I, II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
(SUCURSAL REAL DEL BOSQUE)",FARMACIA,PALO DE CAMPECHE No. 118,,29057,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090163,14/04/2011,"II, III"
"FARMACIA WAL MART SUPERCENTER 
LIBRAMIENTO",FARMACIA,"BLVD. SALOMON GONZALEZ BLANCO 
No. 4350, PATRIA NUEVA",COL. PATRIA NUEVA,29045,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090166,03/07/2013,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
MOCTEZUMA",FARMACIA,"1a. AV. NORTE PONIENTE No. 1408 
LOCAL 9 Y 10",COL. MOCTEZUMA,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090167,22/08/2011,"II, III"
"FARMACIA BODEGA AURRERA 
CARRETERA VILLAFLORES",FARMACIA,"LIBRAMIENTO SUR ORIENTE No.790,",POTRERO MIRADOR,29087,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090170,12/10/2011,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
21 PONIENTE",FARMACIA,"21 PONIENTE SUR No.625, PENIPAK",COL. PENIPAK,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090171,09/02/2012,"II, III"
"FARMACIA SAMS CLUB ALBINO 
CORZO",FARMACIA,"ANILLO DE CIRCUNVALACION NORTE 
ORIENTE No.5250,",EL RETIRO,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090172,17/02/2012,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL BANRURAL",FARMACIA,"22 PONIENTE SUR No.488,",SANTA ELENA,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090173,11/07/2012,"II, III"
"FARMACIAS SAVI DISTRIBUCIONES 
S.A. DE C.V.",FARMACIA,"CALLE MORELOS No. 410 (INT. 
CLINICA CASA GERIATRICA)",PLAN DE AYALA,29110,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090176,04/12/2012,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. GRIJALVA",FARMACIA,"BLVD. FIDEL VELAZQUEZ ZONA 1, 
MZ. 5, CASA 5",INFONAVIT GRIJALVA,29047,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090178,09/04/2013,"II, III"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. UASM SAN AGUSTIN",FARMACIA,"INT. DEL UASM SAN AGUSTIN, CARR. 
TUXTLA-VILLAFLORES KM.8.5 S/N",EL JOBO,29100,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090179,24/07/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. SUC. HG. PASCACIO GAMBOA",FARMACIA,"INT. DEL HG PASCACIO GAMBOA, 9a. 
SUR Y CALLE CENTRAL S/N",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090180,24/07/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. CISAME",FARMACIA,"INT. DEL CISAME, CALLE PRESA 
MAZATEPEC S/N",LAS PALMAS,29050,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090181,06/08/2013,"II, III"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC SANTO DOMINGO",FARMACIA,"INT. CLINCIA C.E. TUXTLA 2a. SUR 
PTE. No.1421 LOCAL A",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090182,11/10/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC SANTO DOMINGO",FARMACIA,"INT. H.E. VIDA MEJOR BLVD. S.S. 
JUAN PABLO II S/N LOCAL A",CASTILLO TIELMANS,29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090183,11/10/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
TIENDAS CHEDRAUI,FARMACIA,"LIBRAMIENTO NORTE ORIENTE 
No.126, LA PIMIENTA",COL. LA PIMIENTA,29034,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090184,14/11/2013,"II, III"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No. 25 DEL IMSS",FARMACIA,"BVD. ANTONIO PARIENTE ALGARIN 
No. 250 COL. PATRIA NUEVA",PATRIA NUEVA,29045,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090185,18/02/2014,"II, III, Y VACUNAS"
"FARMACIA BODEGA AURRERA REAL 
DEL BOSQUE",FARMACIA,"CALZADA EMILIANO ZAPATA No. 
3764 COL. TERAN",TERAN,29050,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090187,04/03/2014,"II, III"
FARMACIA ALERGODERMA,FARMACIA,"AV. MEXICO No. 487, COL. EL 
RETIRO, TUXTLA GUTIERREZ",COL. EL RETIRO,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090191,13/05/2014,"I, II, III, VACUNAS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL MILITAR 
REGIONAL",FARMACIA,"AVENIDA BELISARIO DOMINGUEZ 
S/N, COL. BIENESTAR SOCIAL",COL. BIENESTAR SOCIAL,29077,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090192,23/07/2014,"I, II, III, VACUNAS, TOXOIDES"
"FARMACIAS DEL AHORRO SUCURSAL 
PARRILLA",FARMACIA,"AV. CENTRAL ORIENTE ESQ. 11A. 
CALLE ORIENTE No. 1169, COL. 
CENTRO",COL. CENTRO,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090194,22/09/2014,"II, III"
"FARMACIA DISUR DEL HOSPITAL 
REGIONAL DR. RAFAEL PASCACIO 
GAMBOA",FARMACIA,"9A SUR, COL. CENTRO,",COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090195,05/02/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"CLINICA MEDICA MALIBU TERAN SA 
DE CV",FARMACIA,"6A SUR ORIENTE No. 698, COL. 
AMPLIACION TERAN",COL. AMPLIACION TERAN,29059,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090196,29/05/2015,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS"
"FARMACIA DISUR DEL HOSPITAL DE 
ESPECIALIDADES VIDA MEJOR",FARMACIA,"BOULEVARD S. S. JUAN PABLO II S/N, 
COL. JOSE CASTILLO TIELMANS","COL. JOSE CASTILLO 
TIELMANS",29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090197,02/07/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. UNIDAD DE 
ATENCION A LA SALUD MENTAL SAN 
AGUSTIN",FARMACIA,"INT. DE LA UNIDAD DE ATENCION A 
LA SALUD MENTAL SAN AGUSTIN 
CARRETERA TUXTLA-VILLAFLORES 
KM 8.5, COL. EL JOBO",COL. EL JOBO,29100,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090198,16/07/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES Y VACUNAS"
"NADRO S.A.P.I. DE C.V. UNIDAD DE 
ESPECIALIDAD MEDICA CENTRO 
INTEGRAL DE SALUD MENTAL",FARMACIA,"INT. DE LA UNIDAD DE 
ESPECIALIDAD MEDICA CENTRO 
INTEGRAL DE SALUD MENTAL, 
LIBRAMIENTO NORTE ORIENTE S/N, 
COL. ELECTRISISTAS",COL. ELECTRISISTA,29050,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090199,16/07/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES Y VACUNAS"
"VENART CLINICA HOSPITALARIA Y 
DISTRIBUIDORA DE INSUMOS S. DE 
R.L. DE C.V. (FARMACIA)",FARMACIA,"BOULEVARD COMITAN 191, COL. 
MOCTEZUMA",COL. MOCTEZUMA,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090200,21/07/2015,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIAS ESQUIVAR, SUCURSAL 
CENTRO CINTALAPA",FARMACIA,CALLE PRIMERA NORTE ORIENTE S/N,COL. CENTRO,30400,CINTALAPA,CHIAPAS,07101090201,04/08/2015,"I, II, III, TOXOIDES, VACUNAS, HEMODERIVADOS"
"FARMACIA DISUR DE LA CLINICA DE 
CONSULTA EXTERNA TUXTLA 
GUTIERREZ",FARMACIA,2A. AV. SUR PONIENTE No. 1424,COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090202,24/08/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
MEXICANA",FARMACIA,4A. AV. SUR PONIENTE No. 418-B,BARRIO SAN PASCUALITO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090203,01/10/2015,II Y III
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. MERCADO 2",FARMACIA,"AVENIDA 4A. SUR PONIENTE No. 210-
A",COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090205,29/10/2015,"II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
PROSALUD,FARMACIA,6A. SUR PONIENTE No. 960,COL. LAS CANOITAS,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,0710109206,06/11/2015,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CENTRO MEDICO METROPOLITANO 
DEL SURESTE, S.C.",FARMACIA,1A. ORIENTE NORTE No. 807,COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090207,15/12/2015,"I, II, III, HEMODERIVADOS Y VACUNAS"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL NORTE",FARMACIA,"9A. AV. NORTE ORIENTE ESQ. CALLE 
CENTRAL NORTE No.107 LOCAL 5",BARRIO LA PIMIENTA,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090208,18/01/2016,II.III
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MERCADO 1",FARMACIA,CALLE CENTRAL SUR No. 511,COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090211,28/03/2016,"II, III VACUNAS,TOXOIDES Y HEMODERIBADOS"
"FARMACIA DEL AHORRO SUCURSAL 
BELISARIO DOMINGUEZ II",FARMACIA,"BOULEVARD DR. BELISARIO 
DOMINGUEZ S/N","COL. DR. BELISARIO 
DOMINGUEZ",29059,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090212,20/04/2016,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
LAS AMERICAS TUX",FARMACIA,"5A. AVENIDA NORTE PONIENTE No. 
2498",COL. COVADONGA,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090217,16/12/2016,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
HERRADURA",FARMACIA,"3A. AVENIDA NORTE PONIENTE S/N, 
LOCAL 1",COL. TERAN,29050,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090218,23/09/2016,II Y III
"FARMACIA DEL AHORRO SUCURSAL 
PLATINO",FARMACIA,"BOULEVARD BELISARIO DOMINGUEZ 
ESQ. PRIVADA BUGAMBILIA NO. 
2775",COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090219,01/09/2016,II Y III
FARMACIA SAN FRANCISCO,FARMACIA,AVENIDA 1A. SUR ORIENTE No. 424,BARRIO SAN ROQUE,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090220,15/12/2016,"I, II, III Y HEMODERIVADOS"
"FAMACIA DEL AHORRO SUCURSAL 
LIBRAMIENTO SUR",FARMACIA,"CALLE CENTRAL SUR ORIENTE No. 
116",COL. POTRERO MIRADOR,29087,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090221,19/12/2016,"II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
ANDRES SERRA",FARMACIA,"CALZADA ANDRES SERRA ROJAS ESQ. 
LIBRAMIENTO SUR No. 1060",COL. LOS PAJAROS,29096,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090222,21/12/2016,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
BONAMPAK",FARMACIA,"1A. AVENIDA NORTE ESQ. 16 A. 
CALLE PONIENTE",,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090223,21/12/2016,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
CIMAPHARMA,FARMACIA,3 NORTE PONIENTE No. 1035,COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090224,25/01/2017,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIA DE ESPECIALIDADES 
PEDIATRICAS SAN JOSE",FARMACIA,"CALLE 13A. PONIENTE NORTE No. 
1190",COL. EL MIRADOR 2,29057,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090225,08/05/2017,"I, II, III,VACUNAS, TOXOIDES, HEMODERIVADOS, ANTITOXINAS DE ORIGEN ANIMAL Y SUEROS DE ORIGEN 
ANIMAL"
PROTECVAC,FARMACIA,"CALLE 4A. NORTE PONIENTE No. 
1664, INT. PRIMER PISO","FRACCIONAMIENTO 
BONAMPAK",29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090226,08/05/2017,"I, II. III. VACUNAS"
FARMACIA AMERICA PHARMA,FARMACIA,CALLE 11A. PONIENTE SUR No. 219,COL. LA LOMITA,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090227,19/05/2017,"I, II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"SAN LUCAS CARDIOLOGICA DEL 
SURESTE S.A DE C.V.",FARMACIA,"CARRETERA TUXTLA GUTIERREZ 
VILLAFLORES No. 3839","COLONIA 
COQUELEQUIXTAN",29090,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090228,04/07/2018,"I, II, III, TOXOIDES Y VACUNAS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"BOULEVARD FIDEL VELAZQUEZ No. 
1113",COL. 24 DE JUNIO,29047,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090229,03/10/2017,"II, III, SUEROS, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"AVENIDA CENTRAL PONIENTE No. 
343",COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090230,09/10/2017,"II, III, SUEROS, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,BOULEVARD LA SALLE No. 376,COL. LA SALLE 1,29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090231,09/10/2017,"II, III, SUEROS, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
QUETZALES",FARMACIA,"AVENIDA QUETZAL No. 471,COL.  
BUENOS AIRES",COLONIA BUENOS AIRES,29059,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090234,30/11/2017,"II, III,VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL DE 
ATENCION MENTAL SAN AGUSTIN",FARMACIA,"CARRETERA TUXTLA GUTIERREZ-
VILLAFLORES, KM. 8.5 S/N,",COLONIA EL JOBO,29100,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090235,07/12/2017,"I, II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA UNEME CLINICA DE SALUD 
MENTAL",FARMACIA,"AVENIDA PRESA MAZATEPEC S/N, 
COL. LAS PALMAS",COLONIA LAS PALMAS,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090236,30/11/2017,"I, II, III , ,TOXOIDES, VACUNAS HEMODERIVADOS"
FARMACIA LA PAZ,FARMACIA,"CARRETERA PANAMERICANA No. 
108, COL. CASTILLO TIELMANS","COLONIA CASTILLO 
TIELMANS",29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090239,01/02/2018,"I, II, III, HEMODERIVADOS, VACUNAS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
"FARMACIA DEL AHORRO SUCURSAL 
GUATEMALA",FARMACIA,"CALLE GUATEMALA No. 109, COL. EL 
RETIRO",COLONIA EL RETIRO,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090240,01/02/2018,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIA DEL HOSPITAL GENERAL 
DR. BELISARIO DOMINGUEZ",FARMACIA,"BOULEVARD SALOMON GONZALES 
BLANCO No. 4650, 
FRACCIONAMIENTO LAS TORRES","FRACCIONAMIENTO LAS 
TORRES",29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090241,13/02/2018,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMALY 
HEMODERIVADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"BOULEVARD COMITÁN No. 611, COL. 
MÓCTEZUMA",COLONIA MOCTEZUMA,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090242,08/03/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: SUEROS, VACUNAS ANTITOXINAS DE ORIGEN ANIMAL 
Y/O HEMODERIVADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"QUINTA AVENIDA NORTE PONIENTE 
S/N, COLONIA COVADONGA.",COLONIA COVADONGA,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090243,08/03/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: SUEROS, VACUNAS ANTITOXINAS DE ORIGEN ANIMAL 
Y/O HEMODERIVADOS"
"MAXIFARMACIAS ""ESPECIALIDAD A 
TU ALCANCE""",FARMACIA,"AVENIDA 5ª SUR PONIENTE No. 
1186, COLONIA CENTRO, TUXTLA 
GUTIÉRREZ, CHIAPAS.",COLONIA CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090244,15/03/2018,"ESTUPEFACIENTES FRACCIÓN I, PSICOTRÓPICOS FRACCIÓN II Y III, BIOLÓGICOS TOXOIDES, VACUNAS Y 
PREPARACIONES BACTERIANAS, VACUNAS VIRALES DE USO ORAL Y PARENTERAL"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"AVENIDA CENTRAL ORIENTE 
NÚMERO. 454-432, COLONIA TERAN.",COLONIA TERAN,29050,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090245,23/03/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: SUEROS, VACUNAS ANTITOXINAS DE ORIGEN ANIMAL 
Y/O HEMODERIVADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,"CALZADA AL SUMIDERO No. 1720, 
COLONIA LAS DELICIAS.",COLONIA LAS DELICIAS,29010,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090246,23/03/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: SUEROS, VACUNAS ANTITOXINAS DE ORIGEN ANIMAL 
Y/O HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
ALBINO CORZO",FARMACIA,"BOULEVARD ANGEL ALBINO CORZO L-
1, CORREDOR COMERCIAL 
COMERCIAL ANGEL ALBINO CORZO 
No. 1144, COLONIA LAS PALMAS, 
TUXTLA GUTIÉRREZ, CHIAPAS",COLONIA LAS PALMAS,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090247,22/05/2018,"BIOLÓGICOS ( VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS )"
