FARMACIA NUESTRA SEÑORA DE JUQUILA,FARMACIA,CAMINO A CARPINTEROS S/N,,,Tepeaca,PUEBLA,1091641670,23/03/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN FRANCISCO,FARMACIA,CRISTOBAL COLON Nº 139,SANTA MA.XONACATEPEC,72940,Puebla,PUEBLA,1061141672,31/03/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN ISIDRO,FARMACIA,101 ORIENTE Nº 1638-1,GRANJAS SAN ISIDRO,72420,Puebla,PUEBLA,1061141675,08/05/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DAPAR MEDICAL,FARMACIA,2 SUR Nº 5530,SAN BALTAZAR CAMPECH,72550,Puebla,PUEBLA,1061141677,18/05/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA INTERNA DE LA POLICLINICA OPTIM,FARMACIA,LA MESILLA Nº 6,LA MESILLA,73800,Teziutlan,PUEBLA,1031741678,18/05/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CONSULTORIOS MEDICOS TEO,FARMACIA,"16 DE SEPTIEMBRE Nº 3308-
D-ALTOS",EL CARMEN,72000,Puebla,PUEBLA,1061141679,18/05/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL GENERAL DE ZACATLAN,FARMACIA,EL ROBLE Nº 7,SAN BARTOLO,73310,Zacatlan,PUEBLA,1022081681,28/05/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP.INT.DE TLACOTEPEC DE P,FARMACIA,"KM. 4 CARRET. EL TEPEYAC-
TLACOTEPEC DE P.D.",PASO SANTIAGO,75940,Tlacotepec de Porfirio D.,PUEBLA,1101771682,04/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS ALEXANDER FLEMING SUC. C.U.,FARMACIA,"PROL. RIO PAPAGAYO Nº 
6301",SAN MANUEL,72570,Puebla,PUEBLA,1061141683,04/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMADROGUERIA PUEBLA,FARMACIA Y DROGUERIA,4 PONIENTE Nº 61,CENTRO,75040,Guadalupe Victoria,PUEBLA,1040681684,04/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL INTEGRAL AHUACATLA,FARMACIA,"AVENIDA INDEPENDENCIA 
S/N",CENTRO,73330,Ahuacatlan,PUEBLA,1020061685,10/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL INTEGRAL TETELA,FARMACIA,"PROLONGACION 7 PONIENTE 
S/N",CENTRO,73640,Tetela de Ocampo,PUEBLA,1021721686,10/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL INT. DE COXCATLAN,FARMACIA,"CARRET. TEHUACAN-
TEOTITLAN KM. 42",DONATO BRAVO IZQUIER,75980,Coxcatlan,PUEBLA,1100361687,16/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP.INT.DE PAHUATLAN DE V.,FARMACIA,"CARRETERA TLACUILOTEPEC 
KM. 2.5",LA PASADITA,73100,Pahuatlan,PUEBLA,1011091688,18/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EUROFARM,FARMACIA,RIO SONORA Nº 411-A,ALTAVISTA,74240,Atlixco,PUEBLA,1050191689,18/06/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMAPRONTO,FARMACIA,HIDALGO S/N,,74840,Chinantla,PUEBLA,1080611691,08/07/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL INT. MECAPALAPA,FARMACIA,"CARRET.MECAPALAPA-
FRANCISCO Z. MENA KM. 1",EL PROGRESO,73029,Pantepec,PUEBLA,1011111692,08/07/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA PUEBLA,FARMACIA,AV. SAN FRANCISCO Nº 2419,LA HACIENDA,72570,Puebla,PUEBLA,1061141693,17/07/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP.INT. DE QUIMIXTLAN,FARMACIA,"KM. 1 CARRETERA 
QUIMIXTLAN",,,Quimixtlan,PUEBLA,1041161695,24/07/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAM'S CLUB FORJADORES,FARMACIA,"BLVD. FORJADORES DE 
PUEBLA Nº 3401",,72760,San Pedro Cholula,PUEBLA,1051411696,29/07/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP. INT. GUADALUPE VICTOR,FARMACIA,18 NORTE Y 6 ORIENTE S/N,BARRIO LA CONCEPCION,75040,Guadalupe Victoria,PUEBLA,1040681697,29/07/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA PROVEEDORA DE A.RIVERA,S.A.DE C.V.",FARMACIA,"CARRET. FED. PUEBLA-
ATLIXCO Nº 4901",EMILIANO ZAPATA,72810,San Andres Cholula,PUEBLA,1051201699,25/08/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA EL REFUGIO,FARMACIA,PROL. 3 SUR Nº 13529,TRIUNFO,72490,Puebla,PUEBLA,1061141700,25/08/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA MARIA,FARMACIA,1ª DANIEL GONZALEZ Nº 306,CENTRO,75700,Tehuacan,PUEBLA,1101561701,28/08/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA HOSPITAL INTEGRAL ACAJETE,FARMACIA,CARRETERA NACIONAL S/N,BARRIO SAN JUAN,75110,Acajete,PUEBLA,1090011702,28/08/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MI FARMACIA DE + AHORRO,FARMACIA,AV. JUAREZ Nº 302,,75118,Acajete,PUEBLA,1090011703,09/09/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MAXI FARMACIAS,FARMACIA,MORELOS ORIENTE Nº 204,CENTRO,74000,San Martin Texmelucan,PUEBLA,1051331704,09/09/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. 5 DE MAYO SUR Nº 10,CENTRO,73680,Zacapoaxtla,PUEBLA,1032071705,18/09/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA AMALUCAN,FARMACIA,"BOULEVARD XONACATEPEC 
Nº 244",MANUEL RIVERA ANAYA,72309,Puebla,PUEBLA,1061141706,25/09/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SUPERAMA LA VISTA,FARMACIA,VIA ATLIXCAYOTL Nº 3204,LA VISTA COUNTRY CLU,72830,San Andres Cholula,PUEBLA,1051201707,29/09/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,CAMINO A CLAVIJERO Nº 173,FCO.JAVIER CLAVIJERO,72390,Puebla,PUEBLA,1061141708,08/10/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP. INT. DE CUYOACO,FARMACIA,"GRAL. FRANCISCO LA 
MADRID S/N",IGNACIO ZARAGOZA,73980,Cuyoaco,PUEBLA,1040451712,30/10/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,CALLE BENITO JUAREZ Nº 9,BARRIO DE SANTIAGO,72980,Amozoc,PUEBLA,1090151713,12/11/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL PASTILLERO,FARMACIA,LUIS CABRERA Nº 23,CENTRO,73310,Zacatlan,PUEBLA,1022081714,19/11/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"HOSPITAL MALDONADO, S.C.",FARMACIA,18 ORIENTE Nº 401,MOLINOS DE SAN FCO.,72000,Puebla,PUEBLA,1061141715,19/11/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA 5 DE MAYO,FARMACIA,"CARRET. FED. PUEBLA-
ATLIXCO Nº 12205",---,72845,San Andres Cholula,PUEBLA,1051201716,23/11/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SUPER GB VILLA FRONTERA,FARMACIA,"CAMINO TLALTEPANGO Nº 
10232 LOCAL 5-6",RANCHO S.J. APARICIO,72017,Puebla,PUEBLA,1061141717,03/12/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DE JESUS & GRUPO BELLO,FARMACIA,DIAGONAL 3 NORTE Nº 16,CENTRO,74730,Chiautla de Tapia,PUEBLA,1070481718,07/12/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA AMOZOC,FARMACIA,"CARRET. FED. PUEBLA-
TEHUACAN KM. 15.5",BARRIO DE SANTIAGO,72980,Amozoc,PUEBLA,1090151719,11/12/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA P.DE ABARROTES RIVERA GB CLAVIJERO,FARMACIA,ALAMOS Nº 3,CHAPULTEPEC,72320,Puebla,PUEBLA,1061141720,16/12/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMATODO,FARMACIA,"VIA ATLIXCAYOTL Nº 4008 
L108",,72840,San Andres Cholula,PUEBLA,1051201721,16/12/2009,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA KOCH,FARMACIA,"CALLE VICENTE GUERRERO Nº 
80 INT. 201",CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871724,05/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL AHORRO,FARMACIA,AV. 5 PONIENTE Nº 101,CENTRO,74200,Atlixco,PUEBLA,1050191725,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,"INDEPENDENCIA PONIENTE 
Nº 614",ZARAGOZA,75770,Tehuacan,PUEBLA,1101561726,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,24 SUR Nº 313-B,ARACADIA,75760,Tehuacan,PUEBLA,1101561727,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,AV. DE LA JUVENTUD Nº 1533,FRACC. SANTA MONICA,75790,Tehuacan,PUEBLA,1101561728,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,1 SUR Nº 116,CENTRO,75700,Tehuacan,PUEBLA,1101561729,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,"AV. JOSE GARCIACRESPO Nº 
2003-C",SAN NICOLAS TETITZIN,75855,Tehuacan,PUEBLA,1101561730,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,"HEROES DE LA 
INDEPENDENCIA Nº 501",GUADALUPE HIDALGO,75700,Tehuacan,PUEBLA,1101561731,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD, S.A.DE C.V",FARMACIA,"INDEPENDENCIA ORIENTE Nº 
323",CENTRO,75700,Tehuacan,PUEBLA,1101561732,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,PROL. 11 SUR Nº 13729,SAN BERNABE TEMOXTIT,72470,Puebla,PUEBLA,1061141733,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA TELEFONICA, S.A. DE C.V.",FARMACIA,3 PONIENTE Nº 2124 LOC. 1,BARRIO SAN MATIAS,72000,Puebla,PUEBLA,1061141734,08/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOYO A TU SALUD,S.A.DE C.V.",FARMACIA,1 NORTE Nº 817,FRANCISCO SARABIA,75730,Tehuacan,PUEBLA,1101561735,10/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ALEXANDER FLEMING SUC.GPE.HGO.,FARMACIA,11 SUR Nº 13316,GUADALUPE HIDALGO,72490,Puebla,PUEBLA,1061141736,16/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA ACATLAN,FARMACIA,INDEPENDENCIA Nº 22-B,BARRIO DE SAN LUIS,74949,Acatlan,PUEBLA,1080031737,19/02/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARM.PROV.DE ABARROTES RIVERA,S.A.DE C.V",FARMACIA,"CARRIL DE LOS ALAMOS Nº 
42",CHAPULTEPEC,72320,Puebla,PUEBLA,1061141738,08/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CHRISTUS MUGUERZA HOSPITALES,S.A.DE C.V.",FARMACIA,5 PONIENTE Nº 715,CENTRO,72000,Puebla,PUEBLA,1061141739,08/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MEDLIFE PUEBLA,FARMACIA,"PRIV. 45-A PONIENTE Nº 
1701",REFORMA AGUA AZUL,72430,Puebla,PUEBLA,1061141740,08/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS EL CARMEN,FARMACIA,"CARRETERA FEDERAL PUEBLA-
TEHUACAN KM. 52",,75440,San Salvador Huixcolotla,PUEBLA,1091451741,10/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA EL PASTILLERO,FARMACIA,LUIS CABRERA LOBATO Nº 13,CENTRO,73310,Zacatlan,PUEBLA,1022081742,11/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,7 ORIENTE Nº 208,CENTRO,75480,Tecamachalco,PUEBLA,1091541743,24/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA U.M.F. TECAMACHALCO,FARMACIA,PRIVADA 7 SUR S/N,BARRIO SAN ANTONIO,75480,Tecamachalco,PUEBLA,1091541744,24/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA UNIDAD MEDICA FAMILIAR ACATLAN,FARMACIA,"CARRET. INTER. MEXICO-
OAXACA S/N",CENTRO,73900,Acatlan,PUEBLA,1080031746,29/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"DIAGONAL DE LA 4 SUR Nº 
7302",LOMA LINDA,72470,Puebla,PUEBLA,1061141747,29/03/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MEDINA,FARMACIA,2 PONIENTE Nº 109,CENTRO,73700,Zaragoza,PUEBLA,1032111749,12/04/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR CD. SERDAN,FARMACIA,CALLE DE LA EXPLOSION Nº 8,CENTRO,75731,Chalchicomula de Sesma,PUEBLA,1040461750,26/04/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DIST. FARM. DEL ROSARIO, S.A. DE C.V.",FARMACIA,5 SUR Nº 11106-A,LOMA ENCANTADA,72497,Puebla,PUEBLA,1061141751,27/04/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. MEXICO-PUEBLA Nº 236,,72700,San Juan Cuautlancingo,PUEBLA,1050421752,03/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSP.GRAL. DE ZONA Nº 20,FARMACIA,"AV. FIDEL VELAZQUEZ Nº 
4211",INF. LA MARGARITA,72560,Puebla,PUEBLA,1061141753,04/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA KAREN,FARMACIA,REFORMA Nº 303,SAN MIGUEL,74790,Tulcingo de Valle,PUEBLA,1081911754,06/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
U.M.F. MAGISTERIAL MEXICO 68,FARMACIA,RETORNO ESGRIMA S/N,MEXICO 68,72300,Puebla,PUEBLA,1061141756,10/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR SNTE,FARMACIA,NARANJO Nº 38,GONZALEZ ORTEGA,72040,Puebla,PUEBLA,1061141757,10/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
U.M.F. FOVISSSTE SAN ROQUE,FARMACIA,VENUS S/N,FOVISSSTE SAN ROQUE,72460,Puebla,PUEBLA,1061141758,10/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
U.M.F. GOLFO CENTRO,FARMACIA,"LATERAL RECTA A CHOLULA 
Nº 103",ZAVALETA,72150,Puebla,PUEBLA,1061141759,10/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CONSULTORIO MEDICO,FARMACIA,"AV. LIC. JESUS REYES 
HEROLES S/N",NUEVA AURORA,72070,Puebla,PUEBLA,1061141760,12/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR REFORMA SUR,FARMACIA,4 SUR Nº 311,REFORMA SUR,72150,Puebla,PUEBLA,1061141761,14/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR VILLA VERDE,FARMACIA,"PROL. DE LA 54 NORTE, EDIF. 
19 DEPTO. 8",VILLA VERDE,72303,Puebla,PUEBLA,1061141762,14/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS SORIANA,S.A.DE C.V.SUC.VILLA VER",FARMACIA,"PRIVADA 18 ORIENTE Nº 
5605",FRACC. VILLA VERDE,72220,Puebla,PUEBLA,1061141763,14/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PSICOFARMACIA,FARMACIA,37 ORIENTE Nº 14-B,HUEXOTITLA,72514,Puebla,PUEBLA,1061141764,19/05/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"BLVD. CPT. CARLOS 
CAMACHO ESPIRITU Nº 5 
LOC.1",,72595,Puebla,PUEBLA,1061141766,15/06/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DIF ESTATAL,FARMACIA,"ANT. CAMINO A STA. CLARA 
OCOYUCAN S/N",ZAPATA,72810,San Andres Cholula,PUEBLA,1051201767,15/06/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA PUEBLA,FARMACIA,AV. PUEBLA Nº 12-A,CENTRO,75680,Tlacotepec de Benito J.,PUEBLA,1101771769,22/06/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR I. DE MATAMOROS,FARMACIA,"PROLONGACION HIDALGO 
S/N",BARRIO SAN BERNARDIN,74401,Izucar de Matamoros,PUEBLA,1070871770,24/06/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"P.DE ABARROTES R.,SA.DE C.V GB SAN BARTO",FARMACIA,"ROSALES Nº 957 LOC. 2, 3 Y 4",SAN BARTOLO COATEPEC,72431,Puebla,PUEBLA,1061141772,07/07/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL PASTILLERO,FARMACIA,"PLAZA DE LA CONSTITUCION 
Nº 11",CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871774,13/07/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA HERMANOS SERDAN,FARMACIA,"BLVD. HERMANOS SERDAN 
Nº 797 LOC. A",LAS FUENTES DE PUEBL,72116,Puebla,PUEBLA,1061141776,29/07/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIAS PUEBLA,FARMACIA,CALLE CHIETLA Nº 42,LOMAS DE SUR,72470,Puebla,PUEBLA,1061141778,29/07/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIAS PUEBLA,FARMACIA,4 SUR Nº 10711,LOMA ENCANTADA,72474,Puebla,PUEBLA,1061141780,29/07/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ESPECIALIZADA DE PUEBLA,FARMACIA,PRIV. 18-A SUR Nº 1805,VILLA CARMEL,72530,Puebla,PUEBLA,1061141782,29/07/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA JUQUILA,FARMACIA,BENITO JUAREZ Nº 21,CENTRO,73300,Chignahuapan,PUEBLA,1020541783,11/08/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
P. DE ABARROTES RIVERA GB SAN MARTIN,FARMACIA,"MUJICA Y OSORIO Nº 6 
LOCAL 1",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051331784,17/08/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN FRANCISCO,FARMACIA,AV. 16 DE SEPTIEMBRE Nº 22,SAN MARTIN,75440,San Salvador Huixcolotla,PUEBLA,1091451785,25/08/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR DE ZARAGOZA,FARMACIA,AV. MORELOS Nº 118,CENTRO,73700,Zaragoza,PUEBLA,1032111786,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
UNIDAD MEDICA FAMILIAR TLATLAUQUITEPEC,FARMACIA,INDEPENDENCIA Nº 4,CENTRO,73900,Tlatlauquitepec,PUEBLA,1031861787,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR ACATZINGO,FARMACIA,2 PONIENTE Nº 312,CENTRO,75150,Acatzingo,PUEBLA,1090041788,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR CHIAUTLA DE TAPIA,FARMACIA,AV. REFORMA S/N,CENTRO,74730,Chiautla de Tapia,PUEBLA,1070481789,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR ZACAPOAXTLA,FARMACIA,JUAN M. ALCANTARA Nº 6-A,CENTRO,73680,Zacapoxtla,PUEBLA,1032071790,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR DE ZAPOTITLAN DE,FARMACIA,AV. 5 DE MAYO Nº 340,CENTRO,73440,Zapotitlan de Mendez,PUEBLA,1032091791,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMATLAN,FARMACIA,AV. 2 DE ABRIL Nº 1,BO. DE TECAMACHALCO,75160,San Salvador El Seco,PUEBLA,1041431792,03/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA AGUSTIN LARA,FARMACIA,AGUSTIN LARA Nº 202-L,DICIOS,74080,San Martín Texmelucan,PUEBLA,1051331793,10/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA AJALPAN,FARMACIA,"AV. RAFAEL A. CAMACHO 
PONIENTE Nº 1221",BARRIO COCULCO,75910,Ajalpan,PUEBLA,1100101794,22/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MEGA FARMACIAS DE DESCUENTO,FARMACIA,"PLAZA DE LA CONSTITUCION 
Nº 3-C",CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871795,22/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO HUAUCHINANGO,FARMACIA,PASAJE JUAREZ Nº 1 L-6,CENTRO,73160,Huauchinango,PUEBLA,1010721797,30/09/2010,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
