ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
Super Farmacia Del Niño Doctor,Farmacia,Av. Morelos # 425,Centro,58600,Zacapu,Michoacán,16 107 09 0013,22/08/2006,"Ps., V., T., S., .A."
Super Farmacia Del Niño Doctor,Farmacia,Benito Juárez Esq. Madero S/N,Centro,58600,Zacapu,Michoacán,16 107 09 0014,09/02/2005,"Ps., V., T., S., H."
Farmacia Centro Medico,Farmacia,Av. De Las Rosas # 95,Loma Jardín,58670,Zacapu,Michoacán,16 107 09 0015,21/02/2006,"Ps., V., T., S., H."
Farmacia Santa Maria,Farmacia,Arriaga Rivera # 26 - 2,Centro,58600,Zacapu,Michoacán,16 107 09 0016,21/04/2006,"Ps., T."
Santa Fe,Farmacia,Mariano Escobedo # 524 -1,Centro,58730,Zacapu,Michoacán,16 107 09 0018,03/12/2007,Ps.
Santa Fe,Farmacia,Joaquin De La Cruz S/N,Centro,58730,Zacapu,Michoacán,16 107 09 0019,03/12/2007,Ps.
Herabes,Farmacia,Morelos # 454,Centro,58600,Zacapu,Michoacán,16 107 09 0020,21/04/2008,Ps.
Farmacia Bodega Aurrerá Zacapu,Farmacia,Carretera México-Guadalajara # 877,Centro,58600,Zacapu,Michoacán,16 107 09 0022,26/08/2008,"V., T., S., H."
Paris,Farmacia,Av. Morelos # 404,Centro,58600,Zacapu,Michoacán,16 107 09 0023,19/01/2017,Ps.
Clinica Hospital Issste Zacapu,Botica,Av. Universidad # 784,Miguel Ängel,58660,Zacapu,Michoacán,16 107 10 0024,23/11/2010,"E., Ps., V., T., S., A., H."
Farmacia La Nueva,Farmacia,General Pueblita #11,Centro,58600,Zacapu,Michoacán,16 107 09 0025,28/04/2011,Ps.
"Farmacias El Fenix del Centro Hospital 
General Zacapu",Farmacia,"Carr. Nacional Guadalajara-Morelia KM 78.5 
s/n",Naranja de Tapia,60270,Zacapu,Michoacán,16 107 09 0028,02/02/2018,"E.,Ps.,V.,T.,A.,S.,H.-"
F. MEDALFA Hospital General Zacapu,Farmacia,Carr. Libre Morelia-Guadalajara,Naranja de Tapia,60270,Zacapu,Michoacán,16 107 09 0029,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Farmacias del Ahorro,Farmacia,Av. Morelos No. 454,Centro,58600,Zacapu,Michoacán,16 107 09 0030,24/08/2018,"Ps.,V.,T.,A.,S.,H."
Grupo Farmacia Zamora,Farmacia,Prolongación Morelos No. 1133,Moderna,58680,Zacapu,Michoacán,16 107 09 0031,27/08/2018,"Ps.,T.,S.,A.,H."
Grupo Farmacia Zamora,Farmacia,Morelos No. 330,Centro,58600,Zacapu,Michoacán,16 107 09 0032,27/08/2018,"Ps.,V.,T.,A.,H."
Santos,Farmacia,Fco. I. Madero Esq. Emiliano Zapata,Barrio San Andrés,60240,Charapan,Michoacán,16 021 09 0001,07/05/2003,Ps.
El Angel,Farmacia,Av. Pino Suárez # 28,Parikutin,60270,Cherán,Michoacán,16 024 09 0023,27/10/2004,"Ps., V., T."
San Francisco,Farmacia,Noreste # 4,Centro,60270,Cherán,Michoacán,16 024 09 0001,05/10/2000,"Ps., T."
Hospital Integral Comunitario De Cherán,Botica,Aquiles Serdán # 99,San Pedro,60270,Cherán,Michoacán,16 024 10 0003,09/09/2003,"E., Ps., S."
Farmacias Tzipikuani,Farmacia,Zaragoza # 43 - A,Barrio Segundo,60270,Cherán,Michoacán,16 024 09 0004,28/08/2007,Ps.
Santa Cruz Tanaco,Farmacia,5 de Mayo # 5,Barrio San Juan,60271,Cherán,Michoacán,16 024 09 0005,05/02/2010,"Ps., V., T."
"NADRO, S.A. de C.V.  Hosp. Int. 
Comunitario Cherán",Botica,Aquiles Serdán No. 99,Centro,60272,Cherán,Michoacán,16 024 10 0006,20/02/2013,"E., Ps."
F. Disur del Hosp. Integral de Cherán,Farmacia,Aquiles Serdán No. 99 Int. 1-A,San Pedro,60270,Cherán,Michoacán,16 024 09 0007,16/06/2015,"E., Ps., V., T., S., A., H."
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,Aquiles Serdán No. 99,Barrio Tercero,60270,Cherán,Michoacán,16 024 09 0008,21/09/2016,"E.,Ps.,V.,T.,S.,A.,H."
"Farmacia El Fenix del Centro Hospital 
Integral de Cherán",Farmacia,Aquiles Serdán No. 99,San Pedro,60270,Cherán,Michoacán,16 024 09 0010,01/02/2018,"E.,Ps.,V.,T.,A.,S.,H."
"F. MEDALFA Del Hospital Integral de 
Cherán",Farmacia,Aquiles Serdán No. 99 1-A,San Pedro,60270,Cherán,Michoacán,16 024 09 0011,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
San Martin,Farmacia,Av. Dante Cussi # 34,Centro,61730,Gabriel Zamora,Michoacán,16 033 09 0001,27/11/2000,"Ps., V., T., S."
Dante,Farmacia,Joaquin Amaro S/N,Centro,61730,Gabriel Zamora,Michoacán,16 033 09 0002,11/04/2002,"Ps., T."
Eve,Farmacia,Carretera Al Cobano # 84,Lázaro Cárdenas,57730,Gabriel Zamora,Michoacán,16 033 09 0003,03/12/2004,"Ps., V., S., A."
Cristo Rey,Farmacia,Dante Cussi # 33,Centro,61730,Gabriel Zamora,Michoacán,16 033 09 0004,15/07/2016,"Ps., V., T., S."
Farmacia de Genéricos y Similares,Farmacia,Av. Revolución # 546,Benito Juárez,61730,Gabriel Zamora,Michoacán,16 033 09 0005,16/11/2011,Ps.
San Pedro,Farmacia,Morelos # 20,San Miguel,60250,Nahuatzen,Michoacán,16 056 09 0088,28/06/2005,Ps.
San Jorge,Farmacia,Francisco I. Madero # 107,Centro,60280,Nahuatzen,Michoacán,16 056 09 0001,20/06/2000,"Ps., T."
Lucy,Farmacia,Fco. I. Madero # 386,Primer Barrio,60280,Nahuatzen,Michoacán,16 056 09 0002,15/03/2005,"Ps., V., T."
Nueva,Farmacia,Amado Nervo # 333,Centro,60280,Nahuatzen,Michoacán,16 056 09 0003,20/10/2000,"Ps., V."
Nuestra Señora del Refugio,Farmacia,Aquiles Serdan Poniente # 115,Centro,60280,Nahuatzen,Michoacán,16 056 09 0004,20/03/2002,"Ps., V., T."
Del Centro,Farmacia,Melchor Ocampo # 2,Centro,60490,"Nuevo 
Parangaricutiro",Michoacán,16 058 09 0052,11/09/2003,"Ps., T., S."
San Martin,Farmacia,Jose de San Martin # 5,S/C,60490,"Nuevo 
Parangaricutiro",Michoacán,16 058 09 0001,20/10/2000,"Ps., T."
La Parroquia,Farmacia,Americas S/N,Barrio Santiago,60490,"Nuevo 
Parangaricutiro",Michoacán,16 058 09 0002,20/10/2000,"Ps., V., T., S."
San Jose,Farmacia,20 de Noviembre Esq. Las Flores,Centro,60280,"Nuevo 
Parangaricutiro",Michoacán,16 058 09 0003,19/06/2002,"Ps., T., S."
Los Angeles,Farmacia,Manantiales # 24,Centro,60490,"Nuevo 
Parangaricutiro",Michoacán,16 058 09 0004,31/08/2006,"Ps., T."
San Miguelito,Farmacia,Av. Independencia # 25,Barrio San Miguel,60490,"Nuevo 
Parangaricutiro",Michoacán,16 058 09 0005,28/09/2006,Ps.
Dimefarmich,Farmacia,Nacional S/N,Centro,61750,Nuevo Urecho,Michoacán,16 059 09 0001,19/02/2008,"Ps., V., T., S."
"Unidad Medica Familiar No. 52 Nuevo 
Urecho",Botica,Av. Independencia No. 4 Int. 4,Centro,61750,Nuevo Urecho,Michoacán,16 059 10 0002,09/11/2017,"Ps.,V.,T.,S.,A."
Villa Artesanal,Farmacia,Dr. Jasso # 221,Villa Artesanal,60250,Paracho,Michoacán,16 065 09 0063,17/07/2002,Ps.
Santa Cecilia,Farmacia,La Paz # 9,Centro,60250,Paracho,Michoacán,16 065 09 0001,19/06/2000,"Ps., V., T."
La Esperanza,Farmacia,Prolongacion Ignacio Allende # 440,Centro,60250,Paracho,Michoacán,16 065 09 0002,21/06/2000,"Ps., V., T., S., A."
Super Farmacia La Candelaria,Farmacia,20 De Noviembre # 745,Centro,60250,Paracho,Michoacán,16 065 09 0003,20/07/2000,"Ps., V., T."
Paracho,Farmacia,Hidalgo # 34,Centro,60250,Paracho,Michoacán,16 065 09 0004,04/12/2003,"Ps., V., T."
Regia,Farmacia,Nicolas Bravo # 96,Centro,60250,Paracho,Michoacán,16 065 09 0005,01/09/2000,"Ps., V., T."
La Salud,Farmacia,Hidalgo # 63 - A,Centro,60250,Paracho,Michoacán,16 065 09 0006,06/10/2000,"Ps., T."
San Jeronimo,Farmacia,San Jeronimo # 24,Centro,60250,Paracho,Michoacán,16 069 09 0007,10/10/2000,"Ps., V., T."
Nazareno,Farmacia,Prol. 20 de Noviembre # 556,Centro,60250,Paracho,Michoacán,16 065 09 0008,18/06/2004,"Ps., V., T., S., A."
Imss,Farmacia,"20 de Noviembre S/N, Villa Artesanal",Villa Artesanal,60250,Paracho,Michoacán,16 065 09 0009,18/03/2002,"E., Ps., V., S., A."
Central,Farmacia,Fray Francisco de Castro # 215 - A,Centro,60250,Paracho,Michoacán,16 065 09 0010,23/07/2002,"Ps., T., S."
El Angel,Farmacia,Amado Nervo # 489,Centro,60250,Paracho,Michoacán,16 065 09 0011,26/06/2003,"Ps., T."
Londres,Farmacia,20 De Noviembre # 415,Centro,60250,Paracho,Michoacán,16 065 09 0012,27/10/2004,"Ps., V."
Farmacia San Antonio,Farmacia,"Aquiles Serdan No. 417, esq. Nicolas Bravo",Centro,60250,Paracho,Michoacán,16 065 09 0013,06/10/2015,"E., Ps., V., T., A., S.,H."
Belén,Farmacia,Anahuac # 35 - A,Centro,60440,Peribán,Michoacán,16 068 09 0001,05/10/2000,"Ps., T., S."
La Salud,Farmacia,Ocampo # 132,Centro,60440,Peribán,Michoacán,16 068 09 0002,18/03/2002,"Ps., V., T., S."
La Asunción,Farmacia,20 De Noviembre Esq. Javier Mina,Centro,60440,Peribán,Michoacán,16 068 09 0003,17/07/2002,"Ps., V., T., S."
San Francisco,Farmacia,Emiliano Zapata # 62 - A,Centro,60440,Peribán,Michoacán,16 068 09 0004,22/11/2002,"Ps., V., T., S., A."
Medic Pharma Peribán,Farmacia,Zaragoza Oriente # 155,Centro,60440,Peribán,Michoacán,16 068 09 0005,05/06/2003,"Ps., V., T."
Farmacia Angeles,Farmacia,Emiliano Zapata # 31,Centro,60440,Peribán,Michoacán,16 068 09 0006,15/12/2005,"Ps., V., T."
Mary Paz,Farmacia,Tabachines # 19,Loma Verde,60440,Peribán,Michoacán,16 068 09 0007,18/07/2006,"Ps., T., S."
"Farmacia mi Bodega Aurrerá Periban de  
Ramos",Farmacia,Primero de Mayo # 13,Centro,60444,Peribán,Michoacán,16 068 09 0008,16/11/2011,"Ps., V., T., S., A., H."
Farmacia El Pastillero,Farmacia,Portal Hidalgo No. 12,Centro,60440,Peribán,Michoacán,16 068 09 0009,24/04/2012,"Ps., V., T., A., H."
Rodriguez,Farmacia,Nicolas Bravo # 227,Centro,60300,Los Reyes,Michoacán,16 075 09 0064,31/10/2002,"Ps., V., T., A., H."
Guadalajara,Farmacia,Juarez # 20,Centro,60300,Los Reyes,Michoacán,16 075 09 0001,15/06/2000,"Ps., V., T., S., A."
De Guardia,Farmacia,Begonia # 31,Jardín,60350,Los Reyes,Michoacán,16 075 09 0002,19/06/2000,"Ps., T."
Elisa,Farmacia,16 de Septiembre # 105,Centro,60300,Los Reyes,Michoacán,16 075 09 0003,20/07/2000,"Ps., V., T., S., A."
Libra,Farmacia,Portal Hidalgo # 25,Centro,60300,Los Reyes,Michoacán,16 075 09 0004,20/07/2000,"Ps., V., T., S."
Don Juanito,Farmacia,Galeana # 2,Centro,60300,Los Reyes,Michoacán,16 075 09 0005,20/07/2000,"Ps., V., T., S."
Guizar,Farmacia,Portal Morelos # 24,Centro,60300,Los Reyes,Michoacán,16 075 09 0006,06/10/2000,"Ps., T., A."
Guadalajara,Farmacia,Nicolas Bravo # 52,Centro,60300,Los Reyes,Michoacán,16 075 09 0007,10/10/2000,"Ps., V., T., S., A."
De Dios,Farmacia,Conocido,Zacán,60432,Los Reyes,Michoacán,16 075 09 0008,10/10/2000,"Ps., T., S."
Botica Del H.G.S.Z. C/MF No. 17,Farmacia,Prolongacion 16 De Septiembre # 165,Centro,60300,Los Reyes,Michoacán,16 075 10 0009,05/12/2000,"E., Ps., V., T., A."
Los Reyes,Farmacia,Allende # 31,Centro,60300,Los Reyes,Michoacán,16 075 09 0010,17/05/2001,"Ps., T."
Yunuen,Farmacia,Lazaro Cardenas # 4,Lázaro Cárdenas,60340,Los Reyes,Michoacán,16 075 09 0011,27/06/2001,"Ps., T."
Cecy¨s,Farmacia,Allende Sur # 162,Centro,60300,Los Reyes,Michoacán,16 075 09 0012,24/05/2016,"Ps., V., T., A.,S.,H."
Santa Anita,Farmacia,Allende Sur # 63,Centro,60300,Los Reyes,Michoacán,16 075 09 0014,20/03/2002,"Ps., V., T., S."
Farmacia La Primera,Farmacia,Portal Matamorors # 24,Centro,60300,Los Reyes,Michoacán,16 075 09 0015,23/11/2007,"Ps., V., T., S."
Villarreal,Farmacia,16 De Septiembre # 38,Centro,60300,Los Reyes,Michoacán,16 075 09 0016,19/11/2002,"Ps., V., T., S."
Del Centro,Farmacia,Portal Guerrero # 20,Centro,60300,Los Reyes,Michoacán,16 075 09 0018,13/12/2002,"Ps., T., S."
Ibarra,Farmacia,Allende Sur # 90,Centro,60300,Los Reyes,Michoacán,16 075 09 0019,14/02/2003,"Ps., V., T., S., A."
Super Farmacia Cristo Rey,Farmacia,16 de Septiembre # 25,Jardines de San Juan,60300,Los Reyes,Michoacán,16 075 09 0020,13/05/2003,"Ps., V., T."
Economica,Farmacia,Salazar # 17,Centro,60300,Los Reyes,Michoacán,16 075 09 0021,25/06/2003,"Ps., V., T., S."
Santa Fé,Farmacia,Pinos # 5,Jardines de San Juan,60300,Los Reyes,Michoacán,16 075 09 0022,27/10/2004,"Ps., V., T., S., A."
La Barata,Farmacia,Av. de las Rosas # 48 - B,Jardín,60300,Los Reyes,Michoacán,16 075 09 0024,14/04/2005,"Ps., T., S., A."
Santo Niño De Atocha,Farmacia,Magnolia # 10,Jardín,60300,Los Reyes,Michoacán,16 075 09 0025,02/06/2005,"Ps., V., T., S., A."
Mi Bodega Los Reyes,Farmacia,Carr. Jacona Los Reyes # 161,San Juan de Dios,60330,Los Reyes,Michoacán,16 075 09 0026,20/12/2005,"Ps.,V., T."
Fundacion 411 Años,Farmacia,Portal Matamoros # 1,Centro,60300,Los Reyes,Michoacán,16 075 09 0027,15/12/2005,"Ps., V., T."
Farmacia Centenario,Farmacia,Pasaje de los 3 Navios Interior 3 - B,Centro,60300,Los Reyes,Michoacán,16 075 09 0028,10/04/2007,"Ps., V., T., S., A."
Farmacia La Torre,Farmacia,16 de Septiembre # 220,Centro,60300,Los Reyes,Michoacán,16 075 09 0029,15/11/2007,"Ps., V., T."
Hospital Regional de los Reyes,Botica,Cisne #120,Purengue,60330,Los Reyes,Michoacán,16 075 10 0031,13/11/2012,"E., Ps., V., T., S., A., H."
100% FARMA,Farmacia,Nicolas Bravo No. 27,Centro,60300,Los Reyes,Michoacán,16 075 09 0030,24/05/2016,"Ps.,"
"NADRO, S.A. de C.V.  Hosp. General de 
los Reyes",Botica,Cisne #120,Centro,60300,Los Reyes,Michoacán,16 075 10 0032,26/02/2013,"E., Ps."
Comercializadora de Medicamentos,Farmacia,Nicolas Bravo No. 146,Centro,60300,Los Reyes,Michoacán,16 075 09 0033,20/06/2013,"V.,S.,A."
F. Disur del Hosp. General de Los Reyes,Farmacia,Cisne esq. Gaviota No 120,Purengue,60330,Los Reyes,Michoacán,16 075 09 0034,16/06/2015,"E., Ps., V., T., S., A., H."
F. San Juan de Dios,Farmacia,Gaviota No. 160,Purengue,60330,Los Reyes,Michoacán,16 075 09 0035,29/03/2016,"Ps., V., T., A., S., H."
Farmacia Guadalajara S.A. de C.V.,Farmacia,Av. Emiliano Zapata No. 255,Centro,60300,Los Reyes,Michoacán,16 075 09 0036,21/0972016,"Ps.,V.,T.,A.,S.,H."
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,Cisne Esquina Gaviota No. 20,Purengue,60330,Los Reyes,Michoacán,16 075 09 0037,21/09/2016,"E.,Ps.,V.,T.,S.,A.,H."
"Farmacias El Fenix del Centro Hospital 
General Los Reyes",Farmacia,Cisne Esquina con Gaviota No. 120,Purengue,60330,Los Reyes,Michoacán,16 075 09 0040,01/02/2018,"E.,Ps.,V.,T.,A.,S.,H."
"F. MEDALFA del Hospital General Los 
Reyes",Farmacia,Cisne Esquina con Gaviota No. 120 S1-A,Purengue,60330,Los Reyes,Michoacán,16 075 09 0041,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Unidad de Medicina Familiar,Botica,Cuitzeo Esquina calle Charapan,Purembe,60300,Los Reyes,Michoacán,16 075 10 0042,09/0472018,Ps.
San Ramón,Farmacia,Orquidea No. 17,Jardin,60350,Los Reyes,Michoacán,16 075 09 0043,02/10/2018,"Ps.,V.,T.,S.,A.,H."
Del Socorro,Farmacia,Matamoros S/N,Centro,60460,Tancítaro,Michoacán,16 083 09 0001,10/01/2001,"Ps., T."
Katia,Farmacia,Portal Morelos # 1 - A,Centro,60460,Tancítaro,Michoacán,16 083 09 0002,10/01/2001,"Ps., V., T."
Zamora,Farmacia,Conocido,Condembaro,60460,Tancítaro,Michoacán,16 083 09 0003,16/02/2001,"Ps., V., T. S., A."
Instituto Mexicano Del Seguro Social,Farmacia,Galeana # 2,Centro,60460,Tancítaro,Michoacán,16 083 10 0005,18/03/2002,"Ps., V., T., S."
F. G. I. Del Descuento,Farmacia,Morelos # 8 - B,Centro,60460,Tancítaro,Michoacán,16 083 09 0006,06/10/2005,"Ps., T., S."
San Felipe,Farmacia,Morelos # 11,Centro,60460,Tancítaro,Michoacán,16 083 09 0007,19/05/2008,"Ps., V., T., S."
F. El Angel Del Descuento,Farmacia,José María Morelos # 8 - B,Centro,60460,Tancítaro,Michoacán,16 083 09 0008,29/06/2015,"Ps., V., T., S., A., H."
Farmacia DIF Tancitaro,Farmacia,Lázaro Cárdenas Interior S/n,Centro,60460,Tancitaro,Michoacán,16 083 09 0010,04/05/2016,"E.,Ps.,V.,T.,S.,A.,H."
La Unión,Farmacia,Juarez Esq. Dominguez No. 43,Centro,60460,Tancitaro,Michoacán,16 083 09 0011,19/01/2017,"Ps.,V.,T.,A.,S.,H."
Santa Anita,Farmacia,Portal Guerrero # 1 - B,Centro,61710,Taretan,Michoacán,16 087 09 0001,11/09/2003,"Ps., T., S."
Instituto Mexicano Del Seguro Social,Botica,Av. Rafael Ruiz Bejar # 143,Centro,61710,Taretan,Michoacán,16 087 10 0004,20/11/2009,"E., Ps."
San Ildefonso,Farmacia,Dr. Rafael Alvarado # 323,Centro,61710,Taretan,Michoacán,16 087 09 0005,06/03/2007,"Ps., V., T., S."
San Jorge,Farmacia,Juarez # 158 - D,Barrio Primero,60290,Tingambato,Michoacán,16 090 09 0001,16/07/2001,"Ps., V., T."
De Lourdes,Farmacia,Calzada La Fuente # 43 - A,El Jardín,60130,Uruapan,Michoacán,16 102 09 0002,21/06/2000,"Ps., V., T., S., A."
"Hospital Fray Juan De San Miguel De 
Uruapan",Farmacia,Mazatlan # 75,La Magdalena,60080,Uruapan,Michoacán,16 102 09 0003,21/06/2000,"Ps., V., T., A."
Simbolo,Farmacia,Paseo De La Revolucion # 3753,Emiliano Zapata,60180,Uruapan,Michoacán,16 102 09 0004,20/06/2000,"Ps., T."
Comercial Mexicana,Farmacia,Paseo General Lazaro Cardenas # 1800,Los Ángeles,60160,Uruapan,Michoacán,16 102 09 0005,20/07/2000,"Ps., V., T., S., .A."
Farmacia La Paz,Farmacia,Emiliano Carranza # 5 - D,Centro,60000,Uruapan,Michoacán,16 102 09 0006,09/05/2006,"Ps., V., T., S."
Barragan,Farmacia,Prol. Frnacisco Villa # 206,Linda Vista,60020,Uruapan,Michoacán,16 102 09 0008,27/07/2000,"Ps., T., S."
Clinica Hospital San Jorge,Farmacia,Calzada La Fuente # 7,Eduardo Ruiz,60130,Uruapan,Michoacán,16 102 09 0011,05/10/2000,"E., Ps., T., S."
Farmacia Del Niño,Farmacia,Cupatitzio # 1668,Casa del Niño,60090,Uruapan,Michoacán,16 102 09 0012,20/10/2008,"Ps., V., T."
Formulas Magistrales,Drogueria,20 De Noviembre # 29,Centro,60000,Uruapan,Michoacán,16 102 11 0015,10/10/2000,"E., Ps. V., T., S., A., H."
La Mora,Farmacia,Gardenia # 55 - B,La Mora,60130,Uruapan,Michoacán,16 102 09 0016,06/10/2008,"Ps., V., T."
Clinica La Esperanza,Farmacia,Gral. Amado Aguirre # 15,Ejercito Mexicano,60140,Uruapan,Michoacán,16 102 09 0017,10/10/2000,"E., Ps., T., S., H."
Farmacia Morelos,Farmacia,Constitucion # 82 - A,Centro,60000,Uruapan,Michoacán,16 102 09 0018,04/05/2016,"Ps., V., T.,A.,S.,H."
La Luz,Farmacia,Francisco Villa # 867,Bella Vista,60050,Uruapan,Michoacán,16 102 09 0019,15/11/2007,"Ps., V., T., S."
Guadalajara,Farmacia,Emilio Carranza # 3,Centro,60000,Uruapan,Michoacán,16 102 09 0020,20/10/2000,"Ps., V., T., S."
Jessica,Farmacia,Del Niño # 46,Casa del Niño,60090,Uruapan,Michoacán,16 102 09 0021,05/12/2000,"Ps., V., T., S."
Divino Salvador,Farmacia,Av. Lazaro Cardenas # 14 - A,Centro,60000,Uruapan,Michoacán,16 102 09 0023,27/11/2000,"Ps., T., S."
Distribuidora De Farmacias G Y M,Farmacia,Portal Aldama # 7,Centro,60000,Uruapan,Michoacán,16 102 09 0024,10/12/2003,"Ps., V., T., S., A."
Distribuidora De Farmacias G Y M,Farmacia,Madero # 4,Centro,60000,Uruapan,Michoacán,16 102 09 0025,10/12/2003,"Ps., V., T., S., .A."
Distribuidora De Farmacias G Y M,Farmacia,Francisco Sarabia # 5,Ramón Farías,60050,Uruapan,Michoacán,16 102 09 0026,10/12/2003,"Ps., V., T., .S, .A."
Mexico,Farmacia,Francisco Villa # 139 - A,Bella Vista,60050,Uruapan,Michoacán,16 102 09 0027,27/11/2000,"Ps., V., T."
Itzel,Farmacia,Prolongacion Jalisco # 14,Eduardo Ruiz,60130,Uruapan,Michoacán,16 102 09 0028,27/11/2000,"Ps., V., S."
Su Farmacia,Farmacia,Paris # 44,Jardines del Cupatitzio,60080,Uruapan,Michoacán,16 102 09 0029,27/11/2000,"Ps., T., S."
Hospital General Regional De Uruapan,Botica,Plutarco Elias Calles S/N,San Francisco,60190,Uruapan,Michoacán,16 102 10 0031,09/09/2003,"E., Ps."
Alicia,Farmacia,Privada Montes De Oca # 14 - B,San Pedro,60070,Uruapan,Michoacán,16 102 09 0032,27/11/2000,"Ps., T., S."
Farmacia Tu Tienda De Uruapan,Farmacia,Av. San Francisco # 1520,San Francisco,60190,Uruapan,Michoacán,16 102 09 0033,24/10/2006,"Ps., V., T., S."
Gil,Farmacia,Francisco Villa # 79,Centro,60000,Uruapan,Michoacán,16 102 09 0034,22/01/2001,"Ps., T., S."
Pardo,Farmacia,Manuel Ocaranza # 9,Centro,60000,Uruapan,Michoacán,16 102 09 0036,27/11/2000,"Ps., T., S."
Sagrado Corazon De Jesus,Farmacia,Oyamel # 128,Colorín Norte,60120,Uruapan,Michoacán,16 102 09 0037,05/12/2000,"Ps., V., T."
Guadalajara,Farmacia,Alvaro Obregon # 92,Centro,60000,Uruapan,Michoacán,16 102 09 0038,05/12/2000,"Ps., V., T., S., A."
Vazquez,Farmacia,Filomeno Mata # 236,El Periodista,60128,Uruapan,Michoacán,16 102 09 0040,03/12/2002,"Ps., V., T., S."
Santa Cruz,Farmacia,Paseo Lazaro Cardenas # 2,Morelos,60050,Uruapan,Michoacán,16 102 09 0041,14/12/2000,"Ps., T., S."
Montecarlo,Farmacia,Paraguay # 28 - A,Los Ángeles,60160,Uruapan,Michoacán,16 102 09 0042,14/12/2000,"Ps., V., T., S."
Issstefarmacia # 66,Farmacia,Av. Francisco Sarabia # 37 - 2,Ramón Farías,60050,Uruapan,Michoacán,16 102 09 0044,22/01/2001,"Ps., V., T., .S."
Nayeli,Farmacia,Jose Zamora # 26,Emiliano Zapata,60180,Uruapan,Michoacán,16 102 09 0046,22/01/2001,"Ps., T."
Del Carmen,Farmacia,Morelos # 124,Morelos,60050,Uruapan,Michoacán,16 102 09 0047,02/12/2002,"Ps., T., S."
Unidad De Medicina Familiar # 76,Botica,Calzada Benito Juarez # 153,Linda Vista,60090,Uruapan,Michoacán,16 102 10 0048,08/09/2010,"Ps., V., T., S., A."
Hosp. De Especialidades San Fco.,Farmacia,Paseo De La Cima # 1003,Lomas del Valle,60110,Uruapan,Michoacán,16 102 09 0050,09/04/2001,"Ps., T, S."
Revolucion,Farmacia,Av. Lazaro Cardenas # 647 L-1,Revolución,60150,Uruapan,Michoacán,16 102 09 0051,11/04/2001,"Ps., V., T."
Don Vasco,Farmacia,Jalisco # 20,Ramón Farías,60050,Uruapan,Michoacán,16 102 09 0055,16/07/2001,"Ps., T., S."
Cupatitzio,Farmacia,Cupatitzio # 120,Centro,60000,Uruapan,Michoacán,16 102 09 0057,13/03/2002,"Ps., V., T., S."
Principal,Farmacia,18 De Marzo # 30,Emiliano Zapata,60180,Uruapan,Michoacán,16 102 09 0058,27/10/2004,Ps.
Hospital General De Zona # 8,Botica,Calzada Benito Juarez Esq. Fco. Villa,Linda Vista,60050,Uruapan,Michoacán,16 102 10 0059,11/02/2010,"E., Ps., V., T."
Farmacia Liz,Farmacia,Francisco Villa # 36 - B,Centro,60050,Uruapan,Michoacán,16 102 09 0060,01/03/2007,"Ps., V., T., S."
M & N,Farmacia,Gral. Alvaro Obregón Frente Hosp. Regional,San Francisco,60030,Uruapan,Michoacán,16 102 09 0061,17/07/2002,"Ps., V., T., S."
Distribuidora De Farmacias G Y M,Farmacia,Paseo Lázaro Cárdenas # 1436,Huertas del Cupatitzio,60080,Uruapan,Michoacán,16 102 09 0062,10/12/2003,"Ps., V., T., S., A."
Distribuidora De Medicamentos Gems,Farmacia,Emilio Carranza # 23 - A,Centro,60000,Uruapan,Michoacán,16 102 09 0065,09/05/2006,"Ps., V., T., S."
Norma,Farmacia,Gabriel Cervera Esq. Libramiento,Ejercito Mexicano,60130,Uruapan,Michoacán,16 102 09 0066,22/11/2002,Ps.
La Fama,Farmacia,Prolongación Jalisco # 10 - B,Eduardo Ruiz,60130,Uruapan,Michoacán,16 102 09 0067,03/12/2002,"Ps., V., T., S."
Argentina,Farmacia,Calzada Benito Juárez # 106 - E,Buenos Aires,60040,Uruapan,Michoacán,16 102 09 0068,04/12/2002,"Ps., V., T., S."
Guadalajara,Farmacia,Paseo General Lázaro Cárdenas # 1492,Huertas del Cupatitzio,60080,Uruapan,Michoacán,16 102 09 0069,18/09/2003,"Ps., V., T., S., A."
De Jesus,Farmacia,Libramiento Oriente # 18,Zumpimito,60190,Uruapan,Michoacán,16 102 09 0070,07/05/2003,"Ps., T."
F. Distribuidora De Farmacias G Y  M,Farmacia,Paseo Gral. Lázaro Cárdenas # 1406,Huertas del Cupatitzio,60080,Uruapan,Michoacán,16 102 09 0071,15/04/2005,"Ps., V., T., S., A."
